combo_id,model,label,turbo,flow_scale,h_pre,status,returncode,elapsed_seconds,new_engine_count,new_engines,stdout,stderr,removed_zero_engines
m47_4p7_t0_f1p0_h1920,47,4.7,0,1.0,1920,ok,0,0.715,0,,logs\m47_4p7_t0_f1p0_h1920.stdout.txt,logs\m47_4p7_t0_f1p0_h1920.stderr.txt,
m47_4p7_t0_f1p0_h1608,47,4.7,0,1.0,1608,ok,0,0.635,0,,logs\m47_4p7_t0_f1p0_h1608.stdout.txt,logs\m47_4p7_t0_f1p0_h1608.stderr.txt,
m47_4p7_t0_f1p0_h1440,47,4.7,0,1.0,1440,ok,0,0.586,0,,logs\m47_4p7_t0_f1p0_h1440.stdout.txt,logs\m47_4p7_t0_f1p0_h1440.stderr.txt,
m47_4p7_t1_f1p0_h2160,47,4.7,1,1.0,2160,ok,0,0.749,0,,logs\m47_4p7_t1_f1p0_h2160.stdout.txt,logs\m47_4p7_t1_f1p0_h2160.stderr.txt,
m47_4p7_t1_f1p0_h1920,47,4.7,1,1.0,1920,ok,0,0.729,0,,logs\m47_4p7_t1_f1p0_h1920.stdout.txt,logs\m47_4p7_t1_f1p0_h1920.stderr.txt,
m47_4p7_t1_f1p0_h1608,47,4.7,1,1.0,1608,ok,0,0.61,0,,logs\m47_4p7_t1_f1p0_h1608.stdout.txt,logs\m47_4p7_t1_f1p0_h1608.stderr.txt,
m47_4p7_t1_f1p0_h1440,47,4.7,1,1.0,1440,ok,0,0.576,0,,logs\m47_4p7_t1_f1p0_h1440.stdout.txt,logs\m47_4p7_t1_f1p0_h1440.stderr.txt,
m47_4p7_t2_f1p0_h2160,47,4.7,2,1.0,2160,ok,0,108.68,1,rife_v2/a78c8baa.engine,logs\m47_4p7_t2_f1p0_h2160.stdout.txt,logs\m47_4p7_t2_f1p0_h2160.stderr.txt,
m47_4p7_t2_f1p0_h1920,47,4.7,2,1.0,1920,ok,0,91.848,1,rife_v2/e182d0a2.engine,logs\m47_4p7_t2_f1p0_h1920.stdout.txt,logs\m47_4p7_t2_f1p0_h1920.stderr.txt,
m47_4p7_t2_f1p0_h1608,47,4.7,2,1.0,1608,ok,0,69.563,1,rife_v2/ed307818.engine,logs\m47_4p7_t2_f1p0_h1608.stdout.txt,logs\m47_4p7_t2_f1p0_h1608.stderr.txt,
m47_4p7_t2_f1p0_h1440,47,4.7,2,1.0,1440,ok,0,59.92,1,rife_v2/a12aaced.engine,logs\m47_4p7_t2_f1p0_h1440.stdout.txt,logs\m47_4p7_t2_f1p0_h1440.stderr.txt,
m48_4p8_t0_f1p0_h2160,48,4.8,0,1.0,2160,ok,0,57.634,1,rife/aaa7f76b.engine,logs\m48_4p8_t0_f1p0_h2160.stdout.txt,logs\m48_4p8_t0_f1p0_h2160.stderr.txt,
m48_4p8_t0_f1p0_h1920,48,4.8,0,1.0,1920,ok,0,0.728,0,,logs\m48_4p8_t0_f1p0_h1920.stdout.txt,logs\m48_4p8_t0_f1p0_h1920.stderr.txt,
m48_4p8_t0_f1p0_h1608,48,4.8,0,1.0,1608,ok,0,0.639,0,,logs\m48_4p8_t0_f1p0_h1608.stdout.txt,logs\m48_4p8_t0_f1p0_h1608.stderr.txt,
m48_4p8_t0_f1p0_h1440,48,4.8,0,1.0,1440,ok,0,0.599,0,,logs\m48_4p8_t0_f1p0_h1440.stdout.txt,logs\m48_4p8_t0_f1p0_h1440.stderr.txt,
m48_4p8_t1_f1p0_h2160,48,4.8,1,1.0,2160,ok,0,0.767,0,,logs\m48_4p8_t1_f1p0_h2160.stdout.txt,logs\m48_4p8_t1_f1p0_h2160.stderr.txt,
