source,line,kind,active_line,shader,exists,menu,raw
portable_config/input_uosc.conf,168,menu,False,Anime4K/Anime4K_Restore_CNN_L.glsl,True,着色器 > Anime4K > 线条重建系列 > 减少上采样后的伪影 > Anime4K_Restore_CNN_L,"#                  change-list glsl-shaders toggle ""~~/shaders/Anime4K/Anime4K_Restore_CNN_L.glsl""            #! 着色器 > Anime4K > 线条重建系列 > 减少上采样后的伪影 > Anime4K_Restore_CNN_L"
portable_config/input_uosc.conf,169,menu,False,Anime4K/Anime4K_Restore_CNN_VL.glsl,True,着色器 > Anime4K > 线条重建系列 > 减少上采样后的伪影 > Anime4K_Restore_CNN_VL,"#                  change-list glsl-shaders toggle ""~~/shaders/Anime4K/Anime4K_Restore_CNN_VL.glsl""           #! 着色器 > Anime4K > 线条重建系列 > 减少上采样后的伪影 > Anime4K_Restore_CNN_VL"
portable_config/input_uosc.conf,170,menu,False,Anime4K/Anime4K_Restore_CNN_UL.glsl,True,着色器 > Anime4K > 线条重建系列 > 减少上采样后的伪影 > Anime4K_Restore_CNN_UL,"#                  change-list glsl-shaders toggle ""~~/shaders/Anime4K/Anime4K_Restore_CNN_UL.glsl""           #! 着色器 > Anime4K > 线条重建系列 > 减少上采样后的伪影 > Anime4K_Restore_CNN_UL"
portable_config/input_uosc.conf,171,menu,False,Anime4K/Anime4K_Restore_CNN_Soft_S.glsl,True,着色器 > Anime4K > 线条重建系列 > 适合下采样抗锯齿（Soft） > Anime4K_Restore_CNN_Soft_S,"#                  change-list glsl-shaders toggle ""~~/shaders/Anime4K/Anime4K_Restore_CNN_Soft_S.glsl""       #! 着色器 > Anime4K > 线条重建系列 > 适合下采样抗锯齿（Soft） > Anime4K_Restore_CNN_Soft_S"
portable_config/input_uosc.conf,172,menu,False,Anime4K/Anime4K_Restore_CNN_Soft_M.glsl,True,着色器 > Anime4K > 线条重建系列 > 适合下采样抗锯齿（Soft） > Anime4K_Restore_CNN_Soft_M,"#                  change-list glsl-shaders toggle ""~~/shaders/Anime4K/Anime4K_Restore_CNN_Soft_M.glsl""       #! 着色器 > Anime4K > 线条重建系列 > 适合下采样抗锯齿（Soft） > Anime4K_Restore_CNN_Soft_M"
portable_config/input_uosc.conf,173,menu,False,Anime4K/Anime4K_Restore_CNN_Soft_L.glsl,True,着色器 > Anime4K > 线条重建系列 > 适合下采样抗锯齿（Soft） > Anime4K_Restore_CNN_Soft_L,"#                  change-list glsl-shaders toggle ""~~/shaders/Anime4K/Anime4K_Restore_CNN_Soft_L.glsl""       #! 着色器 > Anime4K > 线条重建系列 > 适合下采样抗锯齿（Soft） > Anime4K_Restore_CNN_Soft_L"
portable_config/input_uosc.conf,174,menu,False,Anime4K/Anime4K_Restore_CNN_Soft_VL.glsl,True,着色器 > Anime4K > 线条重建系列 > 适合下采样抗锯齿（Soft） > Anime4K_Restore_CNN_Soft_VL,"#                  change-list glsl-shaders toggle ""~~/shaders/Anime4K/Anime4K_Restore_CNN_Soft_VL.glsl""      #! 着色器 > Anime4K > 线条重建系列 > 适合下采样抗锯齿（Soft） > Anime4K_Restore_CNN_Soft_VL"
portable_config/input_uosc.conf,175,menu,False,Anime4K/Anime4K_Restore_CNN_Soft_UL.glsl,True,着色器 > Anime4K > 线条重建系列 > 适合下采样抗锯齿（Soft） > Anime4K_Restore_CNN_Soft_UL,"#                  change-list glsl-shaders toggle ""~~/shaders/Anime4K/Anime4K_Restore_CNN_Soft_UL.glsl""      #! 着色器 > Anime4K > 线条重建系列 > 适合下采样抗锯齿（Soft） > Anime4K_Restore_CNN_Soft_UL"
portable_config/input_uosc.conf,176,menu,False,Anime4K/Anime4K_Restore_GAN_UL_CC.glsl,True,着色器 > Anime4K > 线条重建系列 > 生成型对抗网络（GAN） > Anime4K_Restore_GAN_UL_CC,"#                  change-list glsl-shaders toggle ""~~/shaders/Anime4K/Anime4K_Restore_GAN_UL_CC.glsl""        #! 着色器 > Anime4K > 线条重建系列 > 生成型对抗网络（GAN） > Anime4K_Restore_GAN_UL_CC"
portable_config/input_uosc.conf,177,menu,False,Anime4K/Anime4K_Restore_GAN_UUL.glsl,True,着色器 > Anime4K > 线条重建系列 > 生成型对抗网络（GAN） > Anime4K_Restore_GAN_UUL,"#                  change-list glsl-shaders toggle ""~~/shaders/Anime4K/Anime4K_Restore_GAN_UUL.glsl""          #! 着色器 > Anime4K > 线条重建系列 > 生成型对抗网络（GAN） > Anime4K_Restore_GAN_UUL"
portable_config/input_uosc.conf,179,menu,False,Anime4K/Anime4K_Denoise_Bilateral_Mean.glsl,True,着色器 > Anime4K > 降噪系列 > Anime4K_Denoise_Bilateral_Mean,"#                  change-list glsl-shaders toggle ""~~/shaders/Anime4K/Anime4K_Denoise_Bilateral_Mean.glsl""   #! 着色器 > Anime4K > 降噪系列 > Anime4K_Denoise_Bilateral_Mean"
portable_config/input_uosc.conf,180,menu,False,Anime4K/Anime4K_Denoise_Bilateral_Mode.glsl,True,着色器 > Anime4K > 降噪系列 > Anime4K_Denoise_Bilateral_Mode（推荐）,"#                  change-list glsl-shaders toggle ""~~/shaders/Anime4K/Anime4K_Denoise_Bilateral_Mode.glsl""   #! 着色器 > Anime4K > 降噪系列 > Anime4K_Denoise_Bilateral_Mode（推荐）"
portable_config/input_uosc.conf,181,menu,False,Anime4K/Anime4K_Denoise_Bilateral_Median.glsl,True,着色器 > Anime4K > 降噪系列 > Anime4K_Denoise_Bilateral_Median,"#                  change-list glsl-shaders toggle ""~~/shaders/Anime4K/Anime4K_Denoise_Bilateral_Median.glsl"" #! 着色器 > Anime4K > 降噪系列 > Anime4K_Denoise_Bilateral_Median"
portable_config/input_uosc.conf,183,menu,False,Anime4K/Anime4K_Darken_VeryFast.glsl,True,着色器 > Anime4K > 线条加深系列  > Anime4K_Darken_VeryFast,"#                  change-list glsl-shaders toggle ""~~/shaders/Anime4K/Anime4K_Darken_VeryFast.glsl""          #! 着色器 > Anime4K > 线条加深系列  > Anime4K_Darken_VeryFast"
portable_config/input_uosc.conf,184,menu,False,Anime4K/Anime4K_Darken_Fast.glsl,True,着色器 > Anime4K > 线条加深系列  > Anime4K_Darken_Fast,"#                  change-list glsl-shaders toggle ""~~/shaders/Anime4K/Anime4K_Darken_Fast.glsl""              #! 着色器 > Anime4K > 线条加深系列  > Anime4K_Darken_Fast"
portable_config/input_uosc.conf,185,menu,False,Anime4K/Anime4K_Darken_HQ.glsl,True,着色器 > Anime4K > 线条加深系列  > Anime4K_Darken_HQ （推荐）,"#                  change-list glsl-shaders toggle ""~~/shaders/Anime4K/Anime4K_Darken_HQ.glsl""                #! 着色器 > Anime4K > 线条加深系列  > Anime4K_Darken_HQ （推荐）"
